	Event_Time	Cause	Growth_Factor	GFP	Group	Clone	Progeny	Generation	GFP_Age	IsGFPatBirth	StartTime	BirthTime
97	5.25856481e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.70000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909343e+05
98	5.31053241e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	2.50000000e+01	4.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909338e+05
99	5.50324074e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	2.40000000e+01	4.00000000e+00	4.85763889e-01	0.00000000e+00	7.32906896e+05	7.32909338e+05
100	6.30208333e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.10000000e+01	4.00000000e+00	4.85763889e-01	0.00000000e+00	7.32906896e+05	7.32909390e+05
101	1.78553241e-01	0.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	6.30000000e+01	5.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32910020e+05
102	2.59699074e-01	2.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	3.50000000e+01	5.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909329e+05
103	4.54502315e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	3.90000000e+01	5.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909392e+05
104	4.68391204e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	3.80000000e+01	5.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909392e+05
105	4.70312500e-01	1.00000000e+00	gcsf	0.00000000e+00	GCSF_GFPneg	1.20000000e+01	4.50000000e+01	5.00000000e+00	       NaN	0.00000000e+00	7.32906896e+05	7.32909515e+05
106	4.75439815e-01	2.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	6.20000000e+01	5.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32910020e+05
107	4.87488426e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	4.70000000e+01	5.00000000e+00	3.60590278e-01	0.00000000e+00	7.32906896e+05	7.32909554e+05
108	4.89525463e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.10000000e+01	5.00000000e+00	1.73611112e-03	0.00000000e+00	7.32906896e+05	7.32909869e+05
109	4.91203704e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.20000000e+01	5.00000000e+00	3.22222222e-01	0.00000000e+00	7.32906896e+05	7.32909836e+05
110	4.92905093e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	5.30000000e+01	5.00000000e+00	3.71296296e-01	0.00000000e+00	7.32906896e+05	7.32909836e+05
111	4.94594907e-01	1.00000000e+00	gcsf	1.00000000e+00	GCSF_GFPpos	1.20000000e+01	3.60000000e+01	5.00000000e+00	4.04293981e-01	0.00000000e+00	7.32906896e+05	7.32909406e+05
